priority,kind,ownerId,variant,status,source,target,promptFile,variantDirective
1,background,LOC_ZH_PRIMARY_SCHOOL_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_PRIMARY_SCHOOL_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_PRIMARY_SCHOOL_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_PRIMARY_SCHOOL_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_TOWN_CENTER_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_TOWN_CENTER_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_TOWN_CENTER_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_TOWN_CENTER_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_TRAIN_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_TRAIN_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_TRAIN_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_TRAIN_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_UNIVERSITY_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_UNIVERSITY_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_UNIVERSITY_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_UNIVERSITY_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_WORKPLACE_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_WORKPLACE_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_WORKPLACE_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_WORKPLACE_001.txt,canonical daylight master; lock architecture and camera
1,character,CHR_ZH_AUTO_78E3EA6550,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_78E3EA6550/base.png,chinese_course/media/characters/CHR_ZH_AUTO_78E3EA6550/base.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_78E3EA6550.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_AUTO_BF795B2847,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_BF795B2847/base.png,chinese_course/media/characters/CHR_ZH_AUTO_BF795B2847/base.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_BF795B2847.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_AUTO_FE4C23D628,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_FE4C23D628/base.png,chinese_course/media/characters/CHR_ZH_AUTO_FE4C23D628/base.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_FE4C23D628.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_LICHEN_001,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_LICHEN_001/base.png,chinese_course/media/characters/CHR_ZH_LICHEN_001/base.webp,chinese_course/media/prompts/characters/CHR_ZH_LICHEN_001.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_LIUMEI_001,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_LIUMEI_001/base.png,chinese_course/media/characters/CHR_ZH_LIUMEI_001/base.webp,chinese_course/media/prompts/characters/CHR_ZH_LIUMEI_001.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_MIMI_001,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_MIMI_001/base.png,chinese_course/media/characters/CHR_ZH_MIMI_001/base.webp,chinese_course/media/prompts/characters/CHR_ZH_MIMI_001.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_ZHANGLELE_001,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGLELE_001/base.png,chinese_course/media/characters/CHR_ZH_ZHANGLELE_001/base.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGLELE_001.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_ZHANGWEI_001,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGWEI_001/base.png,chinese_course/media/characters/CHR_ZH_ZHANGWEI_001/base.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGWEI_001.txt,canonical identity master; neutral adult/age-start appearance
1,character,CHR_ZH_ZHANGYUTONG_001,BASE,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGYUTONG_001/base.png,chinese_course/media/characters/CHR_ZH_ZHANGYUTONG_001/base.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGYUTONG_001.txt,canonical identity master; neutral adult/age-start appearance
2,character,CHR_ZH_AUTO_78E3EA6550,MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_78E3EA6550/middle.png,chinese_course/media/characters/CHR_ZH_AUTO_78E3EA6550/middle.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_78E3EA6550.txt,"preserve the exact canonical face and silhouette; create age-stage variant MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_AUTO_78E3EA6550,SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_78E3EA6550/senior.png,chinese_course/media/characters/CHR_ZH_AUTO_78E3EA6550/senior.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_78E3EA6550.txt,"preserve the exact canonical face and silhouette; create age-stage variant SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_AUTO_78E3EA6550,YOUNG_MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_78E3EA6550/young_middle.png,chinese_course/media/characters/CHR_ZH_AUTO_78E3EA6550/young_middle.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_78E3EA6550.txt,"preserve the exact canonical face and silhouette; create age-stage variant YOUNG_MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_AUTO_BF795B2847,OLDER_SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_BF795B2847/older_senior.png,chinese_course/media/characters/CHR_ZH_AUTO_BF795B2847/older_senior.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_BF795B2847.txt,"preserve the exact canonical face and silhouette; create age-stage variant OLDER_SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_AUTO_BF795B2847,SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_BF795B2847/senior.png,chinese_course/media/characters/CHR_ZH_AUTO_BF795B2847/senior.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_BF795B2847.txt,"preserve the exact canonical face and silhouette; create age-stage variant SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_AUTO_FE4C23D628,OLDER_SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_FE4C23D628/older_senior.png,chinese_course/media/characters/CHR_ZH_AUTO_FE4C23D628/older_senior.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_FE4C23D628.txt,"preserve the exact canonical face and silhouette; create age-stage variant OLDER_SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_AUTO_FE4C23D628,SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_AUTO_FE4C23D628/senior.png,chinese_course/media/characters/CHR_ZH_AUTO_FE4C23D628/senior.webp,chinese_course/media/prompts/characters/CHR_ZH_AUTO_FE4C23D628.txt,"preserve the exact canonical face and silhouette; create age-stage variant SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_LICHEN_001,MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_LICHEN_001/middle.png,chinese_course/media/characters/CHR_ZH_LICHEN_001/middle.webp,chinese_course/media/prompts/characters/CHR_ZH_LICHEN_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_LICHEN_001,SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_LICHEN_001/senior.png,chinese_course/media/characters/CHR_ZH_LICHEN_001/senior.webp,chinese_course/media/prompts/characters/CHR_ZH_LICHEN_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_LICHEN_001,YOUNG_MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_LICHEN_001/young_middle.png,chinese_course/media/characters/CHR_ZH_LICHEN_001/young_middle.webp,chinese_course/media/prompts/characters/CHR_ZH_LICHEN_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant YOUNG_MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_LIUMEI_001,MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_LIUMEI_001/middle.png,chinese_course/media/characters/CHR_ZH_LIUMEI_001/middle.webp,chinese_course/media/prompts/characters/CHR_ZH_LIUMEI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_LIUMEI_001,SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_LIUMEI_001/senior.png,chinese_course/media/characters/CHR_ZH_LIUMEI_001/senior.webp,chinese_course/media/prompts/characters/CHR_ZH_LIUMEI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_LIUMEI_001,YOUNG_MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_LIUMEI_001/young_middle.png,chinese_course/media/characters/CHR_ZH_LIUMEI_001/young_middle.webp,chinese_course/media/prompts/characters/CHR_ZH_LIUMEI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant YOUNG_MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_MIMI_001,ADULT_CAT,waiting_for_source,visual_sources/characters/CHR_ZH_MIMI_001/adult_cat.png,chinese_course/media/characters/CHR_ZH_MIMI_001/adult_cat.webp,chinese_course/media/prompts/characters/CHR_ZH_MIMI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant ADULT_CAT; age gradually and naturally, never replace identity"
2,character,CHR_ZH_MIMI_001,OLDER_CAT,waiting_for_source,visual_sources/characters/CHR_ZH_MIMI_001/older_cat.png,chinese_course/media/characters/CHR_ZH_MIMI_001/older_cat.webp,chinese_course/media/prompts/characters/CHR_ZH_MIMI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant OLDER_CAT; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGLELE_001,CHILD,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGLELE_001/child.png,chinese_course/media/characters/CHR_ZH_ZHANGLELE_001/child.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGLELE_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant CHILD; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGLELE_001,TEEN,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGLELE_001/teen.png,chinese_course/media/characters/CHR_ZH_ZHANGLELE_001/teen.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGLELE_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant TEEN; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGLELE_001,YOUNG_ADULT,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGLELE_001/young_adult.png,chinese_course/media/characters/CHR_ZH_ZHANGLELE_001/young_adult.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGLELE_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant YOUNG_ADULT; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGWEI_001,MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGWEI_001/middle.png,chinese_course/media/characters/CHR_ZH_ZHANGWEI_001/middle.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGWEI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGWEI_001,SENIOR,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGWEI_001/senior.png,chinese_course/media/characters/CHR_ZH_ZHANGWEI_001/senior.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGWEI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant SENIOR; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGWEI_001,YOUNG_MIDDLE,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGWEI_001/young_middle.png,chinese_course/media/characters/CHR_ZH_ZHANGWEI_001/young_middle.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGWEI_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant YOUNG_MIDDLE; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGYUTONG_001,ADULT,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGYUTONG_001/adult.png,chinese_course/media/characters/CHR_ZH_ZHANGYUTONG_001/adult.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGYUTONG_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant ADULT; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGYUTONG_001,TEEN,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGYUTONG_001/teen.png,chinese_course/media/characters/CHR_ZH_ZHANGYUTONG_001/teen.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGYUTONG_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant TEEN; age gradually and naturally, never replace identity"
2,character,CHR_ZH_ZHANGYUTONG_001,YOUNG_ADULT,waiting_for_source,visual_sources/characters/CHR_ZH_ZHANGYUTONG_001/young_adult.png,chinese_course/media/characters/CHR_ZH_ZHANGYUTONG_001/young_adult.webp,chinese_course/media/prompts/characters/CHR_ZH_ZHANGYUTONG_001.txt,"preserve the exact canonical face and silhouette; create age-stage variant YOUNG_ADULT; age gradually and naturally, never replace identity"
3,background,LOC_ZH_COMMUNITY_CENTER_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_COMMUNITY_CENTER_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_COMMUNITY_CENTER_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_COMMUNITY_CENTER_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_COMMUNITY_CENTER_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_COMMUNITY_CENTER_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_FAMILY_CAFE_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_FAMILY_CAFE_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_FAMILY_CAFE_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_FAMILY_CAFE_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_FAMILY_CAFE_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_FAMILY_CAFE_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_FAMILY_CAFE_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_FAMILY_CAFE_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_FAMILY_CAFE_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_FAMILY_CAFE_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_FAMILY_CAFE_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_FAMILY_CAFE_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_GRANDPARENTS_FARM_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_FARM_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_GRANDPARENTS_FARM_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_FARM_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_GRANDPARENTS_FARM_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_FARM_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_GRANDPARENTS_HOME_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_HOME_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_GRANDPARENTS_HOME_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_HOME_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_GRANDPARENTS_HOME_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_HOME_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_HIGH_SCHOOL_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HIGH_SCHOOL_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_HIGH_SCHOOL_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_HIGH_SCHOOL_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_HIGH_SCHOOL_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HIGH_SCHOOL_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_HIGH_SCHOOL_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_HIGH_SCHOOL_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_HIGH_SCHOOL_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HIGH_SCHOOL_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_HIGH_SCHOOL_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_HIGH_SCHOOL_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_HOSPITAL_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HOSPITAL_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_HOSPITAL_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_HOSPITAL_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_HOSPITAL_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HOSPITAL_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_HOSPITAL_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_HOSPITAL_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_HOSPITAL_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HOSPITAL_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_HOSPITAL_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_HOSPITAL_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_LICHEN_HOME_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_LICHEN_HOME_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_LICHEN_HOME_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_LICHEN_HOME_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_LICHEN_HOME_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_LICHEN_HOME_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_LICHEN_HOME_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_LICHEN_HOME_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_LICHEN_HOME_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_LICHEN_HOME_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_LICHEN_HOME_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_LICHEN_HOME_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_NEW_HOME_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_HOME_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_NEW_HOME_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_HOME_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_NEW_HOME_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_HOME_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_NEW_HOME_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_HOME_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_NEW_HOME_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_HOME_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_NEW_HOME_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_HOME_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_NEW_STATION_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_STATION_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_NEW_STATION_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_STATION_001.txt,same exact architecture/camera; modest festive/holiday decor only
3,background,LOC_ZH_NEW_STATION_001,NIGHT,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_STATION_001_NIGHT.png,chinese_course/media/backgrounds/LOC_ZH_NEW_STATION_001_NIGHT.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_STATION_001.txt,same exact architecture/camera; nighttime practical lighting only
3,background,LOC_ZH_NEW_STATION_001,RAIN,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_STATION_001_RAIN.png,chinese_course/media/backgrounds/LOC_ZH_NEW_STATION_001_RAIN.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_STATION_001.txt,same exact architecture/camera; rainy weather and wet surfaces only
3,background,LOC_ZH_PARK_001,HOLIDAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_PARK_001_HOLIDAY.png,chinese_course/media/backgrounds/LOC_ZH_PARK_001_HOLIDAY.webp,chinese_course/media/prompts/locations/LOC_ZH_PARK_001.txt,same exact architecture/camera; modest festive/holiday decor only
